acadèmico_inta_corresponding,anio,coautor_inta,doi,if,if2022,if2023,if_2023,if_5y,nombre_primer_autor,primer_autor_inta,"prmer_autor_inta_(si,_no)",q,revista,tipo_documento,titulo,titulo_revista,disciplina_final
"Sandoval, Moises H.",2022,0,10.1177/08982643211027404,,2.8,,,3.0,"Sandoval, Moises H.",Sí,,Q2,JOURNAL OF AGING AND HEALTH,Article,The Importance of Education for Middle- and Old-Age Mortality in Chile: Estimates From Panel Data Linked to Death Records,,health policy & services
0,2015,"Weisstaub, Gerardo; Burrows, Raquel",10.3305/nh.2015.31.3.8049,1497,,,,1473,"Valladares, Macarena",No,,Q3,,Article,"ASSOCIATION BETWEEN FEEDING BEHAVIOR, AND GENETIC POLYMORPHISM OF LEPTIN AND ITS RECEPTOR IN OBESE CHILEAN CHILDREN",NUTRICION HOSPITALARIA,nutrition & dietetics
"Espejo, Romilio",2016,0,10.1371/journal.pone.0152515,2806,,,,3394,"Castillo, Daniel",no,,Q1,,Article,Comparative Genome Analysis Provides Insights into the Pathogenicity of Flavobacterium psychrophilum,PLOS ONE,multidisciplinary sciences
0,2022,"Reyes, Marcela; Burrows, Raquel ; Peirano, P  ; Algarín, C ",10.1016/j.psyneuen.2022.105718,,3.6,,,4.1,Fabian Lanuza Rilling,No,,Q1,PSYCHONEUROENDOCRINOLOGY,Article,Association of fasting Orexin-A levels with energy intake at breakfast and subsequent snack in Chilean adolescents,,endocrinology & metabolism
0,2016,0,10.1128/AEM.01760-16,3807,,,,4282,"Toro, Magaly",Sí,,Q1,,Article,"Whole-Genome Sequencing Analysis of Salmonella enterica Serovar Enteritidis Isolates in Chile Provides Insights into Possible Transmission between Gulls, Poultry, and Humans",APPLIED AND ENVIRONMENTAL MICROBIOLOGY,biotechnology & applied microbiology
"Burrows, Raquel",2016,"Correa-Burrows, Paulina ; Reyes, Marcela; Albala, Cecilia",10.1017/S1368980015001585,2326,,,,2824,"Burrows, Raquel",Sí,,Q2,,Article,"High cardiometabolic risk in healthy Chilean adolescents: associations with anthropometric, biological and lifestyle factors",PUBLIC HEALTH NUTRITION,"public, environmental & occupational health"
0,2018,"Lera, Lydia ; Leyton, Barbara",10.1017/S0021932017000025,1050,,,,1159,"Lizana, Pablo A.",No,,	Q3,,Article,"ASSOCIATION BETWEEN BODY COMPOSITION, SOMATOTYPE AND SOCIOECONOMIC STATUS IN CHILEAN CHILDREN AND ADOLESCENTS AT DIFFERENT SCHOOL LEVELS",JOURNAL OF BIOSOCIAL SCIENCE,demography
"Carlos Márquez, Cecilia Albala",2024," Lydia Lera, Patricio Peirano",,,,,3.0,3,Myriam Gutiérrez,,No,Q1,,Article,Self-Reported Sleep Duration Is a Useful Tool to Predict Sarcopenia in Chilean Older Adults: Evidence from the ALEXANDROS Longitudinal Study,JOURNAL OF PERSONALIZED MEDICINE,"general & internal, health care sciences & services"
0,2023,"Corvalan, Camila",10.1017/S1368980023001593,,,3,,3.5,Gabriela Fretes,No,,Q2 ,PUBLIC HEALTH NUTRITION,Aarticle,Ultra-processed food consumption is associated with variations in daily routines in elementary schoolchildren during the COVID-19 pandemic in Chile,,nutrition & dietetics
"Olivares, Sonia C.",2018,"Leyton, Barbara D. ;Oyarzun, Maria Teresa M.",,0.375,,,,0.535,"Olivares, Sonia C.",Sí,,	Q4,,Article,Perception of Chilean schoolchildren from different socioeconomic status on food advertising regulation,ARCHIVOS LATINOAMERICANOS DE NUTRICION,nutrition & dietetics
